2019-2022;2020;2021;Mean;Mean;NE
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0,033333333;0,016666667
0;0;0;0;0,033333333;0,016666667
0;0;0;0;0;0
0;0;0,1;0,033333333;0,033333333;0,033333333
0;0;0,4;0,133333333;0,133333333;0,133333333
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0,1;0;0;0,033333333;0,033333333;0,033333333
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0,033333333;0,016666667
0,8;0;0;0,266666667;0,3;0,283333334
0,8;0;0;0,266666667;0,166666667;0,216666667
0,4;0;0;0,133333333;0,166666667;0,15
0;0;0;0;0;0
0,2;0;0;0,066666667;0,1;0,083333334
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0,2;0,066666667;0,066666667;0,066666667
0;0;1,5;0,5;0,6;0,55
0;0;1,9;0,633333333;0,733333333;0,683333333
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;1,1;0;0,366666667;0,5;0,433333334
0;0,9;0;0,3;0,233333333;0,266666667
0;0,6;0;0,2;0,233333333;0,216666667
0;1,8;0;0,6;0,633333333;0,616666667
0;1;0;0,333333333;0,366666667;0,35
0;0,1;0;0,033333333;0,166666667;0,1
1,1;1,2;0;0,766666667;0,866666667;0,816666667
0,1;1,5;0;0,533333333;0,633333333;0,583333333
0,4;0;0;0,133333333;0,133333333;0,133333333
0;0;0;0;0;0
0,1;0;0;0,033333333;0;0,016666667
0,5;0,7;0;0,4;0,566666667;0,483333334
0,9;0;0;0,3;0,3;0,3
0,5;0;0;0,166666667;0,233333333;0,2
0,1;0,2;0,2;0,166666667;0,2;0,183333334
0,3;0,5;0;0,266666667;0,333333333;0,3
0,3;0,8;0;0,366666667;0,366666667;0,366666667
0,6;1,6;0;0,733333333;0,766666667;0,75
0,1;2,1;0;0,733333333;0,7;0,716666667
0;0,4;0;0,133333333;0,1;0,116666667
0;0;0;0;0;0
0;0;0;0;0;0
0;0,6;0;0,2;0,3;0,25
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0,1;0;0;0,033333333;0,066666667;0,05
0;0;0;0;0;0
0;0;0;0;0,033333333;0,016666667
0,6;0;0;0,2;0,133333333;0,166666667
1,2;0;0;0,4;0,466666667;0,433333334
0,8;0,1;0;0,3;0,4;0,35
0;0,8;0;0,266666667;0,533333333;0,4
1,8;2,2;2,6;2,2;2,466666667;2,333333334
1,6;3,2;0,6;1,8;2,2;2
0,5;0,8;0,2;0,5;0,866666667;0,683333334
0,5;0;0,1;0,2;0,233333333;0,216666667
0,2;0;0,5;0,233333333;0,3;0,266666667
1,5;0;0;0,5;0,5;0,5
3,4;0;0;1,133333333;1,433333333;1,283333333
2,5;0;0;0,833333333;1;0,916666667
3;0;0;1;1,266666667;1,133333334
3;0,6;0;1,2;1,333333333;1,266666667
2,3;0,7;0;1;1,266666667;1,133333334
0,5;1,4;0;0,633333333;0,7;0,666666667
0,1;2,3;0;0,8;1,033333333;0,916666667
2;4,6;0;2,2;2,566666667;2,383333334
1,3;3,4;0;1,566666667;1,633333333;1,6
0;0,4;0;0,133333333;0,233333333;0,183333333
0,3;0;0;0,1;0,1;0,1
0,7;1,2;0;0,633333333;0,733333333;0,683333333
0;2,3;0;0,766666667;0,933333333;0,85
0;1,3;0,6;0,633333333;0,733333333;0,683333333
0;0,8;0,2;0,333333333;0,566666667;0,45
0;1,4;1,2;0,866666667;1,2;1,033333334
0,2;3,2;2,4;1,933333333;2,3;2,116666667
0;2,4;4,2;2,2;2,4;2,3
0,8;3,2;5,3;3,1;3,566666667;3,333333334
1,7;4,2;4,3;3,4;4,333333333;3,866666667
3,2;1,7;4,2;3,033333333;4,533333333;3,783333333
0,7;0;0,1;0,266666667;0,566666667;0,416666667
0,7;0;1,9;0,866666667;1,766666667;1,316666667
1,4;0;2,8;1,4;1,2;1,3
0,4;0;4;1,466666667;1,566666667;1,516666667
1,1;0,2;3,7;1,666666667;1,633333333;1,65
2,2;0,1;3,6;1,966666667;1,4;1,683333334
0,8;0,7;2,7;1,4;1,166666667;1,283333334
0,1;0,8;1,4;0,766666667;1,333333333;1,05
0,3;4,1;2,8;2,4;2,366666667;2,383333334
1,7;4,5;4,5;3,566666667;3,033333333;3,3
0,9;2,7;2,9;2,166666667;2,066666667;2,116666667
2;2,8;6,4;3,733333333;4,033333333;3,883333333
3,8;2,6;7,6;4,666666667;3,866666667;4,266666667
4,7;4;5,9;4,866666667;4,1;4,483333334
3,4;2,5;2,3;2,733333333;2,933333333;2,833333333
1,6;2,5;2,5;2,2;3,1;2,65
1,3;2,1;0;1,133333333;1,966666667;1,55
2,6;3,2;0,3;2,033333333;1,733333333;1,883333333
6,4;2,4;0,3;3,033333333;1,333333333;2,183333333
10;4,6;1;5,2;2,833333333;4,016666667
10,3;7,9;0,9;6,366666667;5;5,683333334
3,5;8,7;3,6;5,266666667;7,133333333;6,2
1,6;9,3;4,8;5,233333333;7,966666667;6,6
2,7;4,4;4,6;3,9;3,966666667;3,933333334
8;2,3;1,4;3,9;2,2;3,05
5,1;0,8;0;1,966666667;1,266666667;1,616666667
2,6;0,8;0,5;1,3;3,166666667;2,233333334
2,2;2,5;1,9;2,2;3,4;2,8
1,3;2,2;3,4;2,3;2,633333333;2,466666667
1,9;2,1;2,8;2,266666667;2,266666667;2,266666667
2,8;1,2;1,7;1,9;1,566666667;1,733333334
1,5;2,6;2,4;2,166666667;2,266666667;2,216666667
0,5;0,3;2,3;1,033333333;1,8;1,416666667
0,1;0,7;2,7;1,166666667;1,9;1,533333334
1,5;0;2,3;1,266666667;1,266666667;1,266666667
0,3;1,2;2,2;1,233333333;1,333333333;1,283333333
3,1;0,4;2,4;1,966666667;1,5;1,733333334
1,5;1;3,9;2,133333333;1,766666667;1,95
1,4;1,3;3,6;2,1;2,666666667;2,383333334
0,5;3,2;2,5;2,066666667;2,266666667;2,166666667
0,3;1,5;2,9;1,566666667;1,733333333;1,65
1,1;1,7;2,8;1,866666667;1,433333333;1,65
3,4;1,3;4,6;3,1;1,833333333;2,466666667
3,5;2,9;4,6;3,666666667;2,933333333;3,3
3,3;3,4;3;3,233333333;3,666666667;3,45
3,8;2,4;3,2;3,133333333;3,133333333;3,133333333
3,5;1,4;4,3;3,066666667;3,266666667;3,166666667
5;1,4;3,1;3,166666667;2,833333333;3
8,2;1,3;2,4;3,966666667;2,5;3,233333334
10,7;3;3,3;5,666666667;3,666666667;4,666666667
12,1;2,9;3,9;6,3;5,366666667;5,833333334
12,6;2,5;3,9;6,333333333;5,5;5,916666667
6,8;2,9;2,6;4,1;6,1;5,1
4;2,5;2,2;2,9;5,666666667;4,283333334
4,2;2,4;1,9;2,833333333;2,866666667;2,85
6,4;1,3;1,8;3,166666667;2,166666667;2,666666667
2,9;3,9;1,5;2,766666667;3,366666667;3,066666667
2,8;8,3;1,1;4,066666667;5,533333333;4,8
3,2;5,7;1,1;3,333333333;3,3;3,316666667
2,9;2,3;1;2,066666667;2,4;2,233333334
4;1;1,8;2,266666667;1,9;2,083333334
5,1;2,3;3,2;3,533333333;2,966666667;3,25
3,8;4,9;3,3;4;4,366666667;4,183333334
3,7;6,7;2;4,133333333;4,6;4,366666667
4;10,3;1,7;5,333333333;5,066666667;5,2
3,7;11,1;1,5;5,433333333;5,4;5,416666667
4,5;10,6;1,9;5,666666667;5,633333333;5,65
2,8;10,4;2,8;5,333333333;5,9;5,616666667
1;10,8;3,1;4,966666667;6,266666667;5,616666667
0,8;11,3;2,5;4,866666667;5,433333333;5,15
1,5;10,3;3;4,933333333;4,733333333;4,833333333
2,4;7,7;3,8;4,633333333;3,7;4,166666667
2,5;7;1,3;3,6;3,033333333;3,316666667
2,8;7,5;0,3;3,533333333;3,233333333;3,383333333
1,6;3,9;1,7;2,4;2,933333333;2,666666667
2,1;3,8;1,3;2,4;2,5;2,45
1,5;5,7;2,6;3,266666667;3,433333333;3,35
2;7,5;3,4;4,3;4,533333333;4,416666667
2,6;8;2,6;4,4;4,066666667;4,233333334
3,9;4,2;3,1;3,733333333;3,2;3,466666667
6,1;2,4;2,2;3,566666667;2,6;3,083333334
7,4;2;1,5;3,633333333;2,5;3,066666667
8,4;1,7;1,2;3,766666667;2,966666667;3,366666667
9,7;1,6;0,9;4,066666667;3,333333333;3,7
6,3;1,4;1,6;3,1;3,666666667;3,383333334
3,7;1;1,1;1,933333333;3,8;2,866666667
2,4;0,9;2,1;1,8;2,8;2,3
4,8;0,8;1,1;2,233333333;1,833333333;2,033333333
1,5;0,8;1,2;1,166666667;1,5;1,333333334
1,3;0,3;1,1;0,9;2,3;1,6
2,2;1,7;1,7;1,866666667;1,733333333;1,8
0,5;1,3;1,2;1;1,5;1,25
0,2;2,1;2;1,433333333;2,166666667;1,8
0,5;0,5;3,3;1,433333333;1,633333333;1,533333333
0,4;0,6;4,1;1,7;1,866666667;1,783333334
0,3;1,7;5;2,333333333;2,433333333;2,383333333
0,4;2,1;4,6;2,366666667;2,366666667;2,366666667
0,7;2,4;4,1;2,4;2,5;2,45
0,7;1,1;3;1,6;1,466666667;1,533333334
2,7;0,9;1,8;1,8;1,3;1,55
2,3;1,1;1;1,466666667;0,933333333;1,2
1,3;2,2;2,8;2,1;2,7;2,4
1,7;4,6;1,5;2,6;3,033333333;2,816666667
0,2;6,6;1,6;2,8;3,3;3,05
0,3;3,3;1,5;1,7;2,4;2,05
0,2;0,5;1,7;0,8;1,1;0,95
0,1;1,1;1,4;0,866666667;1,1;0,983333334
0,6;1,6;0,2;0,8;0,966666667;0,883333334
2,5;1,5;0,8;1,6;0,933333333;1,266666667
3,7;2,3;1,5;2,5;1,466666667;1,983333334
1,3;2;1,2;1,5;2,033333333;1,766666667
0,3;1,3;2,2;1,266666667;2,5;1,883333334
0,5;0,1;2,6;1,066666667;1,366666667;1,216666667
0,9;0;2,4;1,1;1,233333333;1,166666667
0,6;0,1;0,9;0,533333333;0,566666667;0,55
0,7;0,2;0,7;0,533333333;0,666666667;0,6
0,6;0;0;0,2;0,266666667;0,233333334
0,1;0,6;0;0,233333333;0,433333333;0,333333333
1;0,7;0;0,566666667;0,466666667;0,516666667
0;0,1;0;0,033333333;0,133333333;0,083333333
0;0,1;0,2;0,1;0,366666667;0,233333334
0;0;0,2;0,066666667;0,1;0,083333334
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0,2;0,066666667;0,133333333;0,1
0;0;0,1;0,033333333;0,033333333;0,033333333
0;0,1;0;0,033333333;0,066666667;0,05
0;0;0,1;0,033333333;0,066666667;0,05
0,1;0;0,1;0,066666667;0;0,033333334
0;0;0;0;0;0
1,4;0;0;0,466666667;0,033333333;0,25
0,1;0;0,1;0,066666667;0,1;0,083333334
0,4;0;0;0,133333333;0,5;0,316666667
0;0;0;0;0,166666667;0,083333334
0;0;0;0;0,133333333;0,066666667
0;0;0;0;0;0
0;0;1,3;0,433333333;0,5;0,466666667
0;0;0,8;0,266666667;0,3;0,283333334
0;0;0;0;0;0
0;0,8;0;0,266666667;0,333333333;0,3
0;0;0;0;0;0
0,6;0,1;0;0,233333333;0;0,116666667
0,1;0;0;0,033333333;0,033333333;0,033333333
0,9;0,1;0;0,333333333;0,3;0,316666667
0;0;0;0;0;0
0;0;0;0;0,366666667;0,183333334
0;0;0,1;0,033333333;0,066666667;0,05
0;0;0;0;0;0
0;0,1;0;0,033333333;0;0,016666667
0;0;0;0;0;0
0;0,4;0;0,133333333;0,2;0,166666667
0;1,4;0;0,466666667;0,4;0,433333334
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0,2;0;0,066666667;0,033333333;0,05
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;0;0;0
0;0;0;;;
;0;;;;
